Id,ItemType,Category,ReportFormat,KeyCodeName,KeyCode,DWHCode,Formula,FormulaValid,FormulaError,DisplayOrder,DisplayUnit,DisplayFormat,UpdatedDate,UpdatedBy,ItemLevel,ValueType,IsPriceItem,IsTTMRatio,IsOverridable,IsShowReview,SectorFormula
1338,Diamond,X-Factor,Security,1Y Growth Prospect,12m_growth_prospect,NULL,NULL,1,NULL,82,NULL,NULL,58:04.4,ducle@dragoncapital.com,0,NULL,0,0,0,0,NULL
2205,Diamond,Consensus,Security,ACBS,ACBS,NULL,NULL,1,NULL,0,NULL,NULL,59:52.7,chinhtruong@dragoncapital.com,0,NULL,0,0,0,0,NULL
2206,Diamond,Consensus,Security,ACBS.NPATMI,ACBS.NPATMI,NULL,NULL,1,NULL,0,Billion,NULL,59:52.7,chinhtruong@dragoncapital.com,0,NULL,0,0,0,0,NULL
2207,Diamond,Consensus,Security,ACBS.Target_Price,ACBS.Target_Price,NULL,NULL,1,NULL,0,NULL,NULL,59:52.8,chinhtruong@dragoncapital.com,0,NULL,0,0,0,0,NULL
1281,Diamond,Balance Sheet,Security,Account payable,Account_Payable,NULL,BS.102+BS.104+BS.106+BS.107+BS.108+BS.109+BS.110+BS.116,1,NULL,19,Billion,NULL,37:54.8,ducle@dragoncapital.com,0,NULL,0,0,0,0,NULL
1273,Diamond,Balance Sheet,Security,Account receivable,Account_Receivable,NULL,BS.11,1,NULL,11,Billion,NULL,01:45.3,ducle@dragoncapital.com,0,NULL,0,0,0,0,NULL
1282,Diamond,Balance Sheet,Security,Advanced from customer,Advanced_Customer,NULL,BS.105+BS.129,1,NULL,20,Billion,NULL,52:24.9,NULL,0,NULL,0,0,0,0,NULL
1312,Diamond,Income Statement,Security,Gain/(loss) in affliates divestments,Affiliates_Divestment,NULL,IS.46,1,NULL,56,Billion,NULL,52:24.9,NULL,0,NULL,0,0,0,0,NULL
1266,Diamond,Balance Sheet,Security,AFS market value,AFS_MV,NULL,BS.9+BS.58,1,NULL,3,Billion,NULL,21:36.9,tri.pham@dragoncapital.com,0,NULL,0,0,0,0,NULL
1258,Diamond,Overview,Security,Analyst,Analyst,NULL,NULL,1,NULL,2,NULL,NULL,01:33.7,tri.pham@dragoncapital.com,0,Text,0,0,0,0,NULL
1350,Ratio,Asset & Equity Structure,Security,Asset/ Equity,Asset_Equity,NULL,TOTAL_Asset/TOTAL_Equity,1,NULL,6,NULL,0,56:47.1,hai@athenapros.com,0,NULL,0,0,0,0,NULL
1291,Diamond,Balance Sheet,Security,Asset revaluation,Asset_Revaluation,NULL,BS.152,1,NULL,30,Billion,NULL,52:24.9,NULL,0,NULL,0,0,0,0,NULL
1314,Diamond,Income Statement,Security,Income from associate companies,Associate_Income,NULL,IS.55+IS.47,1,NULL,58,Billion,NULL,52:24.9,NULL,0,NULL,0,0,0,0,NULL
1866,Diamond,Supplements,Security,Book value,Book_value,NULL,Total_Equity-Minority_Interest,1,NULL,6,Billion,NULL,29:23.1,tri.pham@dragoncapital.com,0,NULL,0,0,0,0,NULL
1610,Diamond,Supplements,Security,Book value/share,Book_value_share,NULL,(Total_Equity-Minority_Interest)/OS,1,NULL,1,NULL,NULL,28:23.0,tri.pham@dragoncapital.com,0,NULL,0,0,0,0,NULL
1360,BS,NULL,Security,CURRENT ASSETS,BS.1,BSA1,NULL,1,NULL,1,NULL,NULL,56:45.8,NULL,0,NULL,0,0,0,0,NULL
1369,BS,NULL,Security,Provision for diminution,BS.10,BSA7,NULL,1,NULL,10,NULL,NULL,56:45.8,NULL,0,NULL,0,0,0,0,NULL
1459,BS,NULL,Security,Short term bonds issued,BS.100,BSS242,NULL,1,NULL,100,NULL,NULL,56:45.8,NULL,0,NULL,0,0,0,0,NULL
1460,BS,NULL,Security,Borrowings form payable assistance fund,BS.101,BSS243,NULL,1,NULL,101,NULL,NULL,56:45.8,NULL,0,NULL,0,0,0,0,NULL
1461,BS,NULL,Security,Payables to securities trading,BS.102,BSS135,NULL,1,NULL,102,NULL,NULL,56:45.8,NULL,0,NULL,0,0,0,0,NULL
1462,BS,NULL,Security,Payable arise from transaction errors,BS.103,BSS244,NULL,1,NULL,103,NULL,NULL,56:45.8,NULL,0,NULL,0,0,0,0,NULL
1463,BS,NULL,Security,Trade accounts payable,BS.104,BSA57,NULL,1,NULL,104,NULL,NULL,56:45.8,NULL,0,NULL,0,0,0,0,NULL
1464,BS,NULL,Security,Advances from customers,BS.105,BSA58,NULL,1,NULL,105,NULL,NULL,56:45.8,NULL,0,NULL,0,0,0,0,NULL
1465,BS,NULL,Security,Taxes and other payable to State Budget,BS.106,BSA59,NULL,1,NULL,106,NULL,NULL,56:45.8,NULL,0,NULL,0,0,0,0,NULL
1466,BS,NULL,Security,Payable to employees,BS.107,BSA60,NULL,1,NULL,107,NULL,NULL,56:45.8,NULL,0,NULL,0,0,0,0,NULL
1467,BS,NULL,Security,Employees' welfare payable to authorities,BS.108,BSS245,NULL,1,NULL,108,NULL,NULL,56:45.8,NULL,0,NULL,0,0,0,0,NULL
1468,BS,NULL,Security,Accrued expenses,BS.109,BSA61,NULL,1,NULL,109,NULL,NULL,56:45.8,NULL,0,NULL,0,0,0,0,NULL
1370,BS,NULL,Security,Accounts receivable,BS.11,BSA8,NULL,1,NULL,11,NULL,NULL,56:45.8,NULL,0,NULL,0,0,0,0,NULL
1469,BS,NULL,Security,Intercompany payables,BS.110,BSA62,NULL,1,NULL,110,NULL,NULL,56:45.8,NULL,0,NULL,0,0,0,0,NULL
1470,BS,NULL,Security,Short-term unrealized revenue,BS.111,BSA167,NULL,1,NULL,111,NULL,NULL,56:45.8,NULL,0,NULL,0,0,0,0,NULL
1471,BS,NULL,Security,Short term collaterals received,BS.112,BSS246,NULL,1,NULL,112,NULL,NULL,56:45.8,NULL,0,NULL,0,0,0,0,NULL
1472,BS,NULL,Security,Construction contract in progress payables (Before 2016),BS.113,BSA63,NULL,1,NULL,113,NULL,NULL,56:45.8,NULL,0,NULL,0,0,0,0,NULL
1473,BS,NULL,Security,"Dividend, principal and interest payables (Before 2016)",BS.114,BSS136,NULL,1,NULL,114,NULL,NULL,56:45.8,NULL,0,NULL,0,0,0,0,NULL
1474,BS,NULL,Security,Payables to securities issuers (Before 2016),BS.115,BSS137,NULL,1,NULL,115,NULL,NULL,56:45.8,NULL,0,NULL,0,0,0,0,NULL
1475,BS,NULL,Security,Other payables,BS.116,BSA64,NULL,1,NULL,116,NULL,NULL,56:45.8,NULL,0,NULL,0,0,0,0,NULL
1476,BS,NULL,Security,Provision for ST liabilities,BS.117,BSA65,NULL,1,NULL,117,NULL,NULL,56:45.8,NULL,0,NULL,0,0,0,0,NULL
1477,BS,NULL,Security,Bonus and welfare funds,BS.118,BSA66,NULL,1,NULL,118,NULL,NULL,56:45.8,NULL,0,NULL,0,0,0,0,NULL
1478,BS,NULL,Security,Price stabilization fund (Before 2016),BS.119,BSA168,NULL,1,NULL,119,NULL,NULL,56:45.8,NULL,0,NULL,0,0,0,0,NULL
1371,BS,NULL,Security,Receivables (from 2016),BS.12,BSS217,NULL,1,NULL,12,NULL,NULL,56:45.8,NULL,0,NULL,0,0,0,0,NULL
1479,BS,NULL,Security,Government bonds purchased for resale,BS.120,BSA169,NULL,1,NULL,120,NULL,NULL,56:45.8,NULL,0,NULL,0,0,0,0,NULL
1480,BS,NULL,Security,Long-term liabilities,BS.121,BSA67,NULL,1,NULL,121,NULL,NULL,56:45.8,NULL,0,NULL,0,0,0,0,NULL
1481,BS,NULL,Security,Long-term borrowings,BS.122,BSA71,NULL,1,NULL,122,NULL,NULL,56:45.8,NULL,0,NULL,0,0,0,0,NULL
1482,BS,NULL,Security,Long term borrowings,BS.123,BSS247,NULL,1,NULL,123,NULL,NULL,56:45.8,NULL,0,NULL,0,0,0,0,NULL
1483,BS,NULL,Security,Long term financial lease,BS.124,BSS248,NULL,1,NULL,124,NULL,NULL,56:45.8,NULL,0,NULL,0,0,0,0,NULL
1484,BS,NULL,Security,Long term financial assets borrowings,BS.125,BSS249,NULL,1,NULL,125,NULL,NULL,56:45.8,NULL,0,NULL,0,0,0,0,NULL
1485,BS,NULL,Security,Convertible bonds,BS.126,BSA173,NULL,1,NULL,126,NULL,NULL,56:45.8,NULL,0,NULL,0,0,0,0,NULL
1486,BS,NULL,Security,Long term bonds,BS.127,BSS250,NULL,1,NULL,127,NULL,NULL,56:45.8,NULL,0,NULL,0,0,0,0,NULL
1487,BS,NULL,Security,Long-term trade payables,BS.128,BSA68,NULL,1,NULL,128,NULL,NULL,56:45.8,NULL,0,NULL,0,0,0,0,NULL
1488,BS,NULL,Security,Long-term advances from customers,BS.129,BSA170,NULL,1,NULL,129,NULL,NULL,56:45.8,NULL,0,NULL,0,0,0,0,NULL
1372,BS,NULL,Security,Trade accounts receivable (Before 2016),BS.13,BSA9,NULL,1,NULL,13,NULL,NULL,56:45.8,NULL,0,NULL,0,0,0,0,NULL
1489,BS,NULL,Security,Long-term accrued expenses,BS.130,BSA171,NULL,1,NULL,130,NULL,NULL,56:45.8,NULL,0,NULL,0,0,0,0,NULL
1490,BS,NULL,Security,Long-term intercompany payables,BS.131,BSA69,NULL,1,NULL,131,NULL,NULL,56:45.8,NULL,0,NULL,0,0,0,0,NULL
1491,BS,NULL,Security,Intra-company payables for operating capital received (Before 2016),BS.132,BSA172,NULL,1,NULL,132,NULL,NULL,56:45.8,NULL,0,NULL,0,0,0,0,NULL
