KEYCODE,TYPE,BROKERS_WITH_DATA,TOTAL_BROKERS,COVERAGE_PCT,TOTAL_RECORDS,SAMPLE_BROKERS,STATUS
BS.126,BS,2,144,1.4,8,"SSI, Sector",PARTIAL
BS.131,BS,2,144,1.4,6,"SSI, Sector",PARTIAL
BS.141,BS,2,144,1.4,6,"Sector, VNIS",PARTIAL
BS.149,BS,2,144,1.4,30,"SSI, Sector",PARTIAL
BS.166,BS,2,144,1.4,4,"Sector, VIG",PARTIAL
BS.33,BS,2,144,1.4,4,"Sector, VIX",PARTIAL
BS.70,BS,2,144,1.4,2,"MBS, Sector",PARTIAL
BS.97,BS,2,144,1.4,8,"DSE, Sector",PARTIAL
BS.98,BS,2,144,1.4,2,"HRSC, Sector",PARTIAL
BS.124,BS,3,144,2.1,18,"DNSE, DSE, Sector",PARTIAL
BS.129,BS,3,144,2.1,24,"ART, SSI, Sector",PARTIAL
BS.170,BS,3,144,2.1,5,"Sector, TCBS, TVSI",PARTIAL
BS.53,BS,3,144,2.1,12,"FPTS, JSIC, Sector",PARTIAL
BS.81,BS,3,144,2.1,6,"HAC, Sector, TVS",PARTIAL
BS.49,BS,4,144,2.8,5,"ACBS, PNSC, SJCS, Sector",PARTIAL
BS.78,BS,4,144,2.8,214,"BETA, HBS, SSI, Sector",PARTIAL
BS.125,BS,5,144,3.5,9,"BMS, DSE, KBSV, Sector, TVS",PARTIAL
BS.130,BS,5,144,3.5,34,"ACBS, SHS, Sector, TCBS, VIX",PARTIAL
BS.18,BS,5,144,3.5,21,"ACBS, LVSC, ORS, SSI, Sector",PARTIAL
BS.47,BS,5,144,3.5,32,"ACBS, PGSC, Sector, VCI, VSMC",PARTIAL
BS.120,BS,6,144,4.2,142,"BSI, BVS, CTS, Sector, VCBS",PARTIAL
BS.26,BS,6,144,4.2,9,"DVSC, KISVN, ORS, Sector, VND",PARTIAL
BS.91,BS,6,144,4.2,23,"APG, DASC, HAC, Sector, VTSS",PARTIAL
BS.99,BS,6,144,4.2,21,"BMS, PSI, SSI, Sector, TVSI",PARTIAL
BS.103,BS,7,144,4.9,62,"CTS, HBSC, HCM, ORS, PGSC",PARTIAL
BS.171,BS,7,144,4.9,13,"ABSC, IVS, Sector, TCBS, TVS",PARTIAL
BS.23,BS,7,144,4.9,39,"BSI, CASC, JSIC, LVSC, PGSC",PARTIAL
