TICKER,Year,Quarter,STARTDATE,ENDDATE,FX_gain_loss,Affiliates_divestment,Associate_income,Deposit_income,Interest_expense,Net_brokerage_income,Net_trading_income,Interest_income,Net_investment_income,Net_other_operating_income,Net_IB_income,Margin_lending_income,Net_other_income,Fee_income,Capital_income,Total_operating_income,SGA,PBT,NPAT,Operating_sales,Cost_of_sales
,2019,1,2019-01-01,2019-03-31,9067272.0,0.0,125486790.0,0.0,0.0,1131712329.0,1105000000.0,98309611.0,1203309611.0,589136882.0,0,0,0,1720849211.0,1203309611.0,4461342199.0,1829605636.0,-1714766367.0,0.0,4461342199.0,-1829605636.0
,2019,2,2019-04-01,2019-06-30,61359913.0,0.0,143856530.0,0.0,0.0,2687794520.0,1137500000.0,1804891049.0,2942391049.0,546754691.0,0,0,0,3234549211.0,2942391049.0,67359947564.0,2908516868.0,-1819203360.0,0.0,67359947564.0,-2908516868.0
,2019,3,2019-07-01,2019-09-30,11453145.0,0.0,128009356.0,0.0,0.0,-3819506849.0,8098767124.0,0.0,8098767124.0,962650025.0,0,0,0,-2856856824.0,8098767124.0,7490925063.0,1928778931.0,-1786527748.0,0.0,7490925063.0,-1928778931.0
AAS,2020,1,2020-01-01,2020-03-31,725550000.0,12000000.0,122991188.0,0.0,0.0,26001269429.0,3303165875.0,9546893708.0,12850059583.0,1229748711.0,0,0,0,27231018140.0,12850059583.0,42730827220.0,32258774604.0,-1026590729.0,0.0,42730827220.0,-32258774604.0
AAS,2020,2,2020-04-01,2020-06-30,332200000.0,-12000000.0,153271009.0,0.0,0.0,61648728958.0,2506103616.0,9517680412.0,12023784028.0,682946072.0,0,0,0,62331675030.0,12023784028.0,133367218901.0,114282579668.0,-1760265436.0,690.7,133367218901.0,-114282579668.0
AAS,2020,3,2020-07-01,2020-09-30,0.0,500000000.0,160007364.0,0.0,0.0,93385552113.0,2450497686.0,6578814333.0,9029312019.0,322110861.0,0,0,0,93707662974.0,9029312019.0,134932276218.0,109528504800.0,-1780103049.0,-690.7,134932276218.0,-109528504800.0
AAS,2020,4,2020-10-01,2020-12-31,0.0,-500000000.0,115203080.0,0.0,0.0,161771301373.0,2664744260.0,24816745498.0,27481489758.0,581384967.0,0,0,0,162352686340.0,27481489758.0,192337655322.0,236116583736.0,-1906524104.0,0.0,192337655322.0,-236116583736.0
AAS,2021,1,2021-01-01,2021-03-31,0.0,142068359.0,177907982.0,0.0,0.0,112047764978.0,1566496814.0,25506178588.0,27072675402.0,1315676340.0,0,0,0,113363441318.0,27072675402.0,143569038943.0,137734048595.0,-1760487541.0,0.0,143569038943.0,-137734048595.0
AAS,2021,2,2021-04-01,2021-06-30,0.0,54545753.0,376699221.0,0.0,0.0,100519763888.0,508794520.0,60594909976.0,61103704496.0,2871431183.0,0,0,0,103391195071.0,61103704496.0,172893199648.0,167339074667.0,-1765243866.0,0.0,172893199648.0,-167339074667.0
AAS,2021,3,2021-07-01,2021-09-30,0.0,95752334.0,339469868.0,0.0,0.0,139332998137.0,1768653454.0,100732846352.0,102501499806.0,3626605086.0,0,0,0,142959603223.0,102501499806.0,252296994953.0,80596204714.0,-1344366922.0,0.0,252296994953.0,-80596204714.0
AAS,2021,4,2021-10-01,2021-12-31,300000000.0,0.0,450004835.0,0.0,0.0,203094935135.0,2246517846.0,120224890534.0,122471408380.0,5796725197.0,0,0,0,208891660332.0,122471408380.0,389740107509.0,84685180700.0,-8897549586.0,7088.0,389740107509.0,-84685180700.0
AAS,2022,1,2022-01-01,2022-03-31,5700000000.0,21896292.0,182705895.0,0.0,0.0,172675188840.0,2993454797.0,137954803341.0,140948258138.0,4764490645.0,0,0,0,177439679485.0,140948258138.0,328539189076.0,215634615513.0,-5032022749.0,1080.0,328539189076.0,-215634615513.0
AAS,2022,2,2022-04-01,2022-06-30,8400000000.0,307180310.0,485202991.0,0.0,0.0,177468963151.0,4209890411.0,107899320064.0,112109210475.0,6040104653.0,0,0,0,183509067804.0,112109210475.0,313645137295.0,165167125948.0,-4420225462.0,1487.0,313645137295.0,-165167125948.0
AAS,2022,3,2022-07-01,2022-09-30,200000000.0,266820430.0,333124080.0,0.0,0.0,202524489566.0,4249548476.0,93721966151.0,97971514627.0,3953083923.0,0,0,0,206477573489.0,97971514627.0,328144295838.0,212243010824.0,-4960045825.0,1058.0,328144295838.0,-212243010824.0
AAS,2022,4,2022-10-01,2022-12-31,0.0,443120673.0,1435162279.0,0.0,-186637806.0,175309480596.0,169609531.0,73229828353.0,73399437884.0,3304410733.0,0,0,0,178613891329.0,73399437884.0,256259667808.0,202972258967.0,-11405019395.0,361.0,256259667808.0,-202972258967.0
AAS,2023,1,2023-01-01,2023-03-31,0.0,0.0,646301360.0,0.0,0.0,152535180629.0,-113681639.0,75208859184.0,75095177545.0,1367444739.0,0,0,0,153902625368.0,75095177545.0,230821706179.0,189892134877.0,-6515989433.0,253.0,230821706179.0,-189892134877.0
AAS,2023,2,2023-04-01,2023-06-30,0.0,0.0,291150120.0,0.0,0.0,140441551771.0,579955610.0,22527772837.0,23107728447.0,1004251323.0,0,0,0,141445803094.0,23107728447.0,168575546016.0,106365589099.0,-5766128303.0,496.0,168575546016.0,-106365589099.0
AAS,2023,3,2023-07-01,2023-09-30,42000000000.0,0.0,1617268631.0,0.0,0.0,65218127232.0,1322010960.0,36548622561.0,37870633521.0,1404685715.0,0,0,0,66622812947.0,37870633521.0,151532760285.0,102053724512.0,-7065882915.0,52.0,151532760285.0,-102053724512.0
AAS,2023,4,2023-10-01,2023-12-31,3725000000.0,0.0,885510094.0,0.0,0.0,70900658670.0,3238652054.0,19416721913.0,22655373967.0,2598838598.0,0,0,0,73499497268.0,22655373967.0,105592194248.0,75813090465.0,-9635961965.0,-41.0,105592194248.0,-75813090465.0
AAS,2024,1,2024-01-01,2024-03-31,0.0,0.0,1131432643.0,0.0,0.0,37706206188.0,3203449314.0,80636379248.0,83839828562.0,2233001093.0,0,0,0,39939207281.0,83839828562.0,126630896540.0,46208001205.0,-7370635777.0,160.0,126630896540.0,-46208001205.0
AAS,2024,2,2024-04-01,2024-06-30,0.0,0.0,985677386.0,0.0,0.0,31785366281.0,3737832877.0,79991035410.0,83728868287.0,2037945031.0,0,0,0,33823311312.0,83728868287.0,121862111862.0,61158725967.0,-8484953297.0,85.0,121862111862.0,-61158725967.0
AAS,2024,3,2024-07-01,2024-09-30,0.0,0.0,923744341.0,0.0,0.0,19786991394.0,2728625620.0,66726155185.0,69454780805.0,2647693676.0,0,0,0,22434685070.0,69454780805.0,94559275791.0,39989375588.0,-6965186007.0,70.0,94559275791.0,-39989375588.0
AAS,2024,4,2024-10-01,2024-12-31,0.0,0.0,1245586266.0,0.0,0.0,312230413.0,1793541159.0,58435958840.0,60229499999.0,1978144665.0,0,0,0,2290375078.0,60229499999.0,66769210364.0,14971899857.0,-8258721764.0,5.0,66769210364.0,-14971899857.0
AAS,2025,1,2025-01-01,2025-03-31,0.0,0.0,677286259.0,0.0,0.0,34766902998.0,1833992541.0,60887888287.0,62721880828.0,1763145531.0,0,0,0,36530048529.0,62721880828.0,104633295936.0,8503838458.0,-6684176475.0,126.0,104633295936.0,-8503838458.0
AAS,2025,2,2025-04-01,2025-06-30,0.0,0.0,573991082.0,0.0,0.0,22296008117.0,2095305028.0,100336735809.0,102432040837.0,1762004744.0,0,0,0,24058012861.0,102432040837.0,133398979348.0,50375040495.0,-6795638417.0,210187.0,133398979348.0,-50375040495.0
AASC,2012,4,2012-10-01,2012-12-31,694905992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1211335415.0,883962596.0,-3056195427.0,4.0,1211335415.0,-883962596.0
ABSC,2012,4,2012-10-01,2012-12-31,24743933663.0,545339343.0,930452960.0,300000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,47169279827.0,17533876771.0,-24845951254.0,160.0,47169279827.0,-17533876771.0
ABW,2023,1,2023-01-01,2023-03-31,552146654.0,0.0,1010291912.0,0.0,-3796753.0,26511888182.0,3013936131.0,9334917339.0,12348853470.0,12734785869.0,0,0,0,39246674051.0,12348853470.0,62394167568.0,10712078775.0,-18652378653.0,191.0,62394167568.0,-10712078775.0
ABW,2023,2,2023-04-01,2023-06-30,461150264.0,0.0,1064602174.0,0.0,3796753.0,8129793159.0,4621118086.0,17726369331.0,22347487417.0,16179882467.0,0,0,0,24309675626.0,22347487417.0,64915962846.0,21308305487.0,-17986694266.0,97.0,64915962846.0,-21308305487.0
ABW,2023,3,2023-07-01,2023-09-30,2733481242.0,0.0,997158123.0,0.0,-3796753.0,3092867928.0,15701791718.0,21482817316.0,37184609034.0,23215988533.0,0,0,0,26308856461.0,37184609034.0,94697835098.0,28467219391.0,-19118335516.0,291.0,94697835098.0,-28467219391.0
ABW,2023,4,2023-10-01,2023-12-31,1967018294.0,0.0,1471776176.0,0.0,3796753.0,8436502341.0,14693791161.0,3867185084.0,18560976245.0,22100392602.0,0,0,0,30536894943.0,18560976245.0,70775087201.0,17649447823.0,-24461377687.0,135.0,70775087201.0,-17649447823.0
ABW,2024,1,2024-01-01,2024-03-31,1603518738.0,0.0,998175263.0,0.0,0.0,2286498590.0,13821300893.0,8623420061.0,22444720954.0,26992485922.0,0,0,0,29278984512.0,22444720954.0,76225491092.0,29400518198.0,-17396709234.0,165.0,76225491092.0,-29400518198.0
ABW,2024,2,2024-04-01,2024-06-30,2344047577.0,0.0,1033700676.0,0.0,0.0,11321000839.0,12113721619.0,22944657051.0,35058378670.0,30480870413.0,0,0,0,41801871252.0,35058378670.0,105536356058.0,29788406147.0,-16811971561.0,393.0,105536356058.0,-29788406147.0
ABW,2024,3,2024-07-01,2024-09-30,2459005113.0,0.0,1085782747.0,0.0,0.0,6117835615.0,11637739006.0,12026827736.0,23664566742.0,30823309889.0,0,0,0,36941145504.0,23664566742.0,88494084888.0,20554661485.0,-17559884888.0,267.0,88494084888.0,-20554661485.0
