INCOMESTATEMENTID,ORGANCODE,COMTYPECODE,TICKER,YEARREPORT,LENGTHREPORT,LENGTHSERIES,STARTDATE,ENDDATE,SOURCENAME,NOTE,PUBLICDATE,ISAUDIT,STATUS,CREATEDATE,UPDATEDATE,ISA1,ISS115,ISS116,ISS117,ISS118,ISS119,ISS120,ISS121,ISS122,ISS42,ISS44,ISS45,ISS46,ISS48,ISS47,ISS43,ISS49,ISS123,ISS50,ISA2,ISA3,ISS124,ISS125,ISS126,ISS127,ISS128,ISS129,ISS130,ISS168,ISS131,ISS132,ISS133,ISS134,ISS135,ISS136,ISS137,ISS138,ISS139,ISS140,ISA4,ISA5,ISS142,ISS143,ISS144,ISS145,ISS141,ISS147,ISS148,ISS149,ISS150,ISS151,ISS146,ISA102,ISS152,ISA10,ISA11,ISA12,ISA13,ISA14,ISA15,ISA16,ISS153,ISS154,ISA19,ISA17,ISA18,ISA20,ISA22,ISS155,ISA21,ISS174,ISS156,ISS157,ISS158,ISS159,ISS160,ISS161,ISS162,ISS163,ISS164,ISS165,ISS166,ISS167,ISA23,ISA24,W_DATASOURCE_NUM_ID,W_INSERT_DT,W_INTEGRATION_ID,W_BATCH_ID
2623933,OCSC,CK,OCSC,2018,1,3.0,2018-01-01,2018-03-31,OTC - BCTC Q1/2018,,2018-05-03,False,1.0,2018-05-03 17:07:28.423,2020-03-19 14:25:02.063,57652594106.0,36125164210.0,3208413720.0,32916655890.0,94600.0,3411196126.0,9542559832.0,0.0,0.0,7553201569.0,0.0,0.0,0.0,0.0,510909091.0,0.0,0.0,509563278.0,0.0,0.0,57652594106.0,-642536530.0,-638715590.0,-3820940.0,0.0,0.0,0.0,0.0,-427680000.0,0.0,-206289397.0,-8768059942.0,0.0,0.0,0.0,-531617810.0,-161210436.0,0.0,0.0,-10737394115.0,46915199991.0,0.0,98318488.0,0.0,0.0,98318488.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3763169111.0,43250349368.0,2700000.0,0.0,2700000.0,0.0,43253049368.0,10340214418.0,32912834950.0,-8650609873.0,-2068042883.0,-6582566990.0,34602439495.0,34602439495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34602439495.0,34602439495.0,0.0,0.0,0.0,0.0,2,2020-04-15 04:32:14.340,,
1903870,OCSC,CK,OCSC,2017,1,3.0,2017-01-01,2017-03-31,OTC - BCTC Q1/2017,,2017-07-18,False,1.0,2017-05-25 10:00:00.000,2017-07-18 18:28:10.200,12549260911.0,301700.0,0.0,0.0,301700.0,1120755052.0,6049932033.0,0.0,0.0,4903891073.0,0.0,0.0,0.0,0.0,436199235.0,0.0,0.0,38181818.0,0.0,0.0,12549260911.0,-176573200.0,-176573200.0,0.0,0.0,0.0,0.0,0.0,-783251437.0,0.0,-57141501.0,-6494650358.0,0.0,0.0,0.0,-481578894.0,-194184982.0,0.0,0.0,-8187380372.0,4361880539.0,0.0,77192285.0,0.0,0.0,77192285.0,0.0,-16229904.0,0.0,0.0,0.0,-16229904.0,0.0,0.0,-2973528069.0,1449314851.0,127600002.0,-6357250.0,121242752.0,0.0,1570557603.0,1570557603.0,0.0,-314111520.0,-314111520.0,0.0,1256446083.0,1256446083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256446083.0,1256446083.0,0.0,0.0,0.0,0.0,2,2020-02-11 07:29:34.220,,
1944768,OCSC,CK,OCSC,2017,2,6.0,2017-04-01,2017-06-30,OTC - BCTC Q2/2017,,2017-08-23,True,1.0,2017-07-19 10:36:36.303,2017-08-23 14:18:33.640,21322418731.0,5919134219.0,0.0,5918093469.0,1040750.0,836708339.0,7107145302.0,0.0,0.0,6777709565.0,0.0,0.0,0.0,0.0,470119984.0,0.0,0.0,211601322.0,0.0,0.0,21322418731.0,-353586212.0,-319450000.0,-34136212.0,0.0,0.0,0.0,0.0,-8564337593.0,0.0,-91013819.0,-7908529342.0,0.0,0.0,0.0,-478990382.0,-437446700.0,-22232982.0,0.0,-17856137030.0,3466281701.0,0.0,82896997.0,0.0,0.0,82896997.0,0.0,-47730104.0,0.0,0.0,0.0,-47730104.0,0.0,0.0,-2785019254.0,716429340.0,0.0,0.0,0.0,0.0,716429340.0,-5167527917.0,5883957257.0,314111520.0,314111520.0,0.0,1030540860.0,1030540860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1030540860.0,1030540860.0,0.0,0.0,38.0,0.0,2,2020-02-11 07:45:17.837,,
2119293,OCSC,CK,OCSC,2017,3,9.0,2017-07-01,2017-09-30,OTC - BCTC Q3/2017,,2017-11-07,False,1.0,2017-11-07 10:45:21.690,2017-11-07 10:45:21.667,43524388519.0,27692504540.0,866864170.0,26819822648.0,5817722.0,666122089.0,7579033840.0,0.0,0.0,6899998431.0,0.0,0.0,0.0,0.0,503093255.0,0.0,0.0,183636364.0,0.0,0.0,43524388519.0,317021941.0,282885729.0,34136212.0,0.0,0.0,0.0,0.0,-282885729.0,0.0,-117942001.0,-8022583985.0,0.0,0.0,0.0,-499135174.0,-192566494.0,22232982.0,0.0,-8775858460.0,34748530059.0,0.0,87997360.0,0.0,0.0,87997360.0,0.0,-6333333.0,0.0,0.0,0.0,-6333333.0,0.0,0.0,-4147882837.0,30682311249.0,0.0,0.0,0.0,0.0,30682311249.0,3828352389.0,26853958860.0,0.0,0.0,0.0,30682311249.0,30682311249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30682311249.0,30682311249.0,0.0,0.0,-38.0,0.0,2,2020-02-11 07:48:20.160,,
2492220,OCSC,CK,OCSC,2017,4,12.0,2017-10-01,2017-12-31,OTC - BCTC KT/2017,,2018-03-20,True,1.0,2018-02-06 11:54:17.900,2018-03-20 13:53:05.017,-11010382413.0,-26554196269.0,6173757781.0,-32729189197.0,1235147.0,988178660.0,7079989607.0,0.0,0.0,6846369460.0,0.0,0.0,0.0,0.0,485295268.0,0.0,0.0,138288630.0,5692231.0,0.0,-11010382413.0,-11656721072.0,-1923995129.0,-9732725943.0,0.0,0.0,0.0,0.0,284313463481.0,0.0,-188513450.0,-9610278464.0,0.0,0.0,0.0,-499212492.0,-302889232.0,0.0,0.0,262055848771.0,251045466358.0,0.0,634927459.0,0.0,0.0,634927459.0,0.0,-12406393.0,0.0,0.0,0.0,-12406393.0,0.0,0.0,-6684292058.0,244983695366.0,300000.0,-15000.0,285000.0,0.0,244983980366.0,287445895506.0,-42461915140.0,-255683727.0,-2200483532.0,1944799805.0,244728296639.0,244728296639.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244728296639.0,244728296639.0,0.0,0.0,4628.0,0.0,2,2020-02-11 07:42:12.163,,
1877971,MHBS,CK,MHBS,2012,4,,2012-10-01,2012-12-31,WEB- BCTC KT2012,,2013-04-05,True,1.0,2015-08-12 00:00:00.000,2015-08-12 00:19:40.000,19327777198.0,,,,,,,,,3627637981.0,0.0,0.0,188760000.0,0.0,0.0,-2704890542.0,0.0,,18216269759.0,0.0,19327777198.0,,,,,,,,,,,,,,,,,,,-25686077439.0,-6358300241.0,,,,,,,,,,,,,,-18547946402.0,-24906246643.0,681766972.0,-2649296751.0,-1967529779.0,0.0,-26873776422.0,,,,-3132398.0,0.0,-26876908820.0,-26876908820.0,,0.0,,,,,,,,,,,,,,0.0,,2,2022-09-16 09:50:43.420,,TOOLS_MIGRATION_20221609
1877878,RUBSE,CK,RUBSE,2012,4,,2012-10-01,2012-12-31,WEB - BCTC Q4/2012,,2013-01-31,False,1.0,2015-08-12 00:00:00.000,2015-08-12 00:27:10.000,-1147257281.0,,,,,,,,,-74124568.0,0.0,0.0,-100000000.0,0.0,0.0,-132700.0,0.0,,-973000013.0,0.0,-1147257281.0,,,,,,,,,,,,,,,,,,,-4759055051.0,-5906312332.0,,,,,,,,,,,,,,78837464.0,-5827474868.0,40454545.0,-75686172.0,-35231627.0,0.0,-5862706495.0,,,,0.0,0.0,-5862706495.0,-5862706495.0,,0.0,,,,,,,,,,,,,,0.0,,2,2022-09-16 09:50:42.350,,TOOLS_MIGRATION_20221609
1877996,SASC,CK,SASC,2012,4,,2012-10-01,2012-12-31,WEB - BCTC KT2012,,2013-04-12,True,1.0,2015-08-12 00:00:00.000,2015-08-12 00:27:31.000,124413245704.0,,,,,,,,,3088820217.0,0.0,0.0,175093109.0,0.0,237114977.0,3114874968.0,0.0,,117797342433.0,0.0,124413245704.0,,,,,,,,,,,,,,,,,,,-119972922786.0,4440322918.0,,,,,,,,,,,,,,-12350202494.0,-7909879576.0,1197557567.0,-397128170.0,800429397.0,0.0,-7109450179.0,,,,0.0,0.0,-7109450179.0,-7109450179.0,,0.0,,,,,,,,,,,,,,13.0,,2,2022-09-16 09:50:43.420,,TOOLS_MIGRATION_20221609
2807347,BMSC,CK,BMS,2018,3,9.0,2018-07-01,2018-09-30,UPCOM - BCTC Q3 2018,,2018-10-15,False,1.0,2018-10-15 16:00:38.730,2020-03-19 14:25:02.063,62742785303.0,57624492794.0,26099000000.0,30705735844.0,819756950.0,0.0,2299062.0,0.0,0.0,3436469768.0,0.0,0.0,0.0,0.0,299523738.0,0.0,0.0,50000000.0,1329999941.0,0.0,62742785303.0,-10476880219.0,0.0,-10476880219.0,0.0,0.0,0.0,0.0,0.0,0.0,-24813611282.0,-2703824948.0,0.0,0.0,0.0,-430110456.0,0.0,0.0,0.0,-38424426905.0,24318358398.0,0.0,79742378.0,0.0,416666667.0,496409045.0,0.0,-5310509757.0,0.0,0.0,0.0,-5310509757.0,0.0,0.0,-4758154736.0,14746102950.0,3278922694.0,0.0,3278922694.0,0.0,18025025644.0,-2203829981.0,20228855625.0,-4045771125.0,0.0,-4045771125.0,13979254519.0,9838078319.0,4141176200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13979254519.0,13979254519.0,0.0,0.0,-303.0,0.0,2,2020-04-15 04:38:33.393,,
2911037,BMSC,CK,BMS,2018,4,12.0,2018-10-01,2018-12-31,OTC - BCTC Q4 2018,,2019-08-29,True,1.0,2019-01-24 10:43:07.883,2020-03-19 14:25:02.063,56877569719.0,51615206133.0,24722302464.0,26586330291.0,306573378.0,0.0,105572088.0,0.0,0.0,2108500862.0,0.0,0.0,0.0,0.0,279300405.0,0.0,0.0,218522107.0,2550468124.0,0.0,56877569719.0,-37622084105.0,-9112733332.0,-28509350773.0,0.0,0.0,0.0,0.0,0.0,0.0,-21767678490.0,-1660348480.0,0.0,0.0,0.0,-440960788.0,0.0,0.0,0.0,-61491071863.0,-4613502144.0,0.0,102982745.0,0.0,-416666667.0,-313683922.0,0.0,-2626678734.0,0.0,0.0,0.0,-2626678734.0,0.0,0.0,-5219487957.0,-12773352757.0,18994838814.0,-396334.0,18994442480.0,0.0,6221089723.0,8144110205.0,-1923020482.0,-2916781255.0,-3301385351.0,384604096.0,3304308468.0,7445484668.0,-4141176200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3304308468.0,3304308468.0,0.0,0.0,651.0,0.0,2,2020-04-15 04:36:16.250,,
